Designator,Quantity,Description,Manufacturer,Mfr PN
"R21","1","RES, 0805, 13K ohms, 1%, 0.25W","KOA","RK73H2ATTD1302F"
"R22","1","RES, 0603, 3.48K ohms, 1%, 0.1W","KOA","RK73H1JTTD3481F"
"R23","1","RES, 0805, 28.7k ohms, 1%, 0.25W","KOA","RK73H2ATTD2872F"
"R24","1","RES, 1210, 2.8Kohms, 1%, 0.5W","Panasonic","ERJ-14NF2801U"
"R25","1","RES, 0603, 2.8K ohms, 1%, 0.1W","KOA","RK73H1JTTD2801F"
"R27","1","RES, 0603, 23.2K ohms, 1%, 0.1W","KOA","RK73H1JTTD2322F"
"R30, R31, R35","3","RES, 0805, 10 ohms, 1%, 0.25W","KOA","RK73H2ATTD10R0F"
"R33, R37, R50","3","RES, 0603, 0 ohms, 1%, 0.1W","KOA","RK73Z1JTTD"
"R43, R45","2","RES, 0603, 165 ohms, 1%, 0.1W","KOA","RK73H1JTTD1650F"
"R46, R47","2","RES, 0603, 100 ohms, 1%, 0.1W","KOA","RK73H1JTTD1000F"
"SC1","1","SCREW, 4-40, PAN HEAD, 0.5 INCH, STAINLESS","McMaster","92949A110"
"U1","1","LDO, FIXED, 1.8V, 300mA","Diodes Inc.","AP2127K-1.8TRG1"
"U2","1","BUCK, 28V IN, 1V-6V OUT, 0.5A OUT, INTEGRATED SWITCHES","TI","TPS62175DQCT"
"U3","1","BOOST CONVERTER, 38Vin, 58Vout, RTE-PWQFN","TI","TPS43060RTET"
"U4","1","8-bit AVR Microcontroller, 1.8-5.5V, 12MHz, 16KB Flash, 256 Bytes EEPROM, 1KB SRAM, 20-pin MLF, Industrial Grade (-40°C to 105°C), Pb-Free, Reel","Microchip","ATtiny1634-MUR"
"U5","1","CURRENT SENSE AMPLIFIER, 20 V/V","TI","LMP8601MA/NOPB"
"U6, U7","2","GATE DRIVER, 18V, SOT-23-6","Texas Instruments","UCC27511DBVR"
"WSR1, WSR3","2","SHOULDER WASHER, TO-220","Aavid","7721-7PPSG"
"WSR2","1","LOCK WASHER, 4-40","McMaster","91102A720"
"WSR4","1","WASHER, 4-40","McMaster","92141A005"
"Y1","1","ABLS-12.000MHZ-B2-T","Abracon LLC","ABLS-12.000MHZ-B2-T"
